id,title,type,release_year,age_certification,genres,imdb_id,imdb_score
ts2760,Fireman Sam,SHOW,1987,TV-Y,"['comedy', 'animation', 'family', 'crime', 'european']",tt0329829,6.1
ts987,Danger Mouse,SHOW,1981,TV-Y,"['comedy', 'family', 'scifi', 'animation', 'european']",tt0081848,7.4
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,"['scifi', 'drama', 'war', 'animation', 'action']",tt0159510,7.2
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,"['scifi', 'animation', 'action', 'drama', 'war']",tt0095262,7.3
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,"['comedy', 'documentation']",tt0307403,7.2
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,,"['comedy', 'documentation']",tt0259057,6
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,"['comedy', 'documentation']",tt0084352,7.9
tm114356,The George McKenna Story,MOVIE,1988,,['drama'],tt0091106,6
tm147829,Unspeakable Acts,MOVIE,1990,,['drama'],tt0100848,6
tm126769,Waiting for the Hearse,MOVIE,1985,,['comedy'],tt0089108,8
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,"['animation', 'action', 'drama', 'scifi', 'war']",tt0159511,7.7
tm159912,Agneepath,MOVIE,1990,,"['action', 'crime', 'drama']",tt0098999,7.6
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,['comedy'],tt0213984,8.1
tm38736,Too Young The Hero,MOVIE,1988,,"['drama', 'war']",tt0096286,6.7
tm258072,Adam: His Song Continues,MOVIE,1986,,"['crime', 'drama']",tt0090589,7
tm52815,Disco Dancer,MOVIE,1982,,"['drama', 'romance']",tt0208903,6.5
tm137013,The Ryan White Story,MOVIE,1989,,['drama'],tt0098237,7.2
tm157853,In Defense of a Married Man,MOVIE,1990,,"['drama', 'crime']",tt0099833,5.6
tm157603,Dil,MOVIE,1990,,"['romance', 'comedy', 'drama']",tt0099429,6.6
tm45720,Bye Bye London,MOVIE,1982,,"['comedy', 'drama']",tt10130668,8.7
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,['drama'],tt0095945,7.1
tm151332,"Alexandria, Again and Forever",MOVIE,1989,,['drama'],tt0099858,6.5
tm24110,Strange Voices,MOVIE,1987,,['drama'],tt0094052,6.3
tm348735,Aakhri Adaalat,MOVIE,1988,,"['action', 'crime', 'thriller']",tt0177505,5.1
tm51083,A Stoning in Fulham County,MOVIE,1988,,"['crime', 'drama', 'thriller']",tt0096179,5.8
tm126791,The Married Couples,MOVIE,1981,,['drama'],,
tm186777,Sayed The Servant,MOVIE,1985,,['comedy'],,
tm311264,Muqaddar Ka Faisla,MOVIE,1987,,"['comedy', 'drama', 'family', 'action']",tt0239682,4.8
tm172482,Sohni Mahiwal,MOVIE,1984,,"['romance', 'action', 'drama']",tt0807047,6.1
tm52274,The Little Wars,MOVIE,1982,,"['drama', 'war', 'european']",tt0084492,6.3
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,['comedy'],,
tm342996,Duniya,MOVIE,1984,,"['drama', 'action']",tt0301231,6.2
ts63001,High Risk,SHOW,1988,TV-PG,['comedy'],tt0094478,3.8
tm411457,Pyar Ke Do Pal,MOVIE,1986,,"['drama', 'action']",tt0358053,6.1
tm371359,Jaal,MOVIE,1986,,"['drama', 'thriller', 'action']",tt0239495,5.2
tm446654,Mujrim,MOVIE,1989,,"['drama', 'action', 'crime']",tt0097926,5.4
tm47673,An Egyptian Story,MOVIE,1982,,"['fantasy', 'drama']",tt0084042,7.3
tm419052,Ek Jaan Hain Hum,MOVIE,1983,,"['family', 'romance']",tt0379272,6.3
tm11556,The Quick and the Dead,MOVIE,1995,R,"['western', 'thriller', 'action', 'romance']",tt0114214,6.5
ts20981,Survivor,SHOW,2000,TV-PG,['reality'],tt0239195,7.4
ts22176,Stargate SG-1,SHOW,1997,TV-PG,"['scifi', 'drama', 'action']",tt0118480,8.4
ts21223,Pokémon,SHOW,1997,TV-Y7,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",tt0168366,7.6
tm122434,Forrest Gump,MOVIE,1994,PG-13,"['drama', 'romance', 'comedy']",tt0109830,8.8
tm106462,Happy Gilmore,MOVIE,1996,PG-13,"['comedy', 'sport']",tt0116483,7
ts20339,One Piece,SHOW,1999,TV-14,"['action', 'comedy', 'animation', 'drama', 'fantasy']",tt0388629,8.8
tm57554,Saving Private Ryan,MOVIE,1998,R,"['drama', 'war']",tt0120815,8.6
ts34435,Cowboy Bebop,SHOW,1998,TV-14,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",tt0213338,8.9
ts20927,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,"['scifi', 'action', 'drama']",tt0106145,8.1
ts5145,The Challenge,SHOW,1998,TV-14,"['reality', 'comedy', 'drama', 'scifi']",tt0176095,7.8
tm192405,Gattaca,MOVIE,1997,PG-13,"['thriller', 'drama', 'scifi']",tt0119177,7.8
ts21567,Gilmore Girls,SHOW,2000,TV-14,"['comedy', 'drama']",tt0238784,8.2
tm55553,Blade,MOVIE,1998,R,"['action', 'scifi', 'horror']",tt0120611,7.1
tm56574,You've Got Mail,MOVIE,1998,PG,"['romance', 'drama', 'comedy']",tt0128853,6.7
tm192037,Starship Troopers,MOVIE,1997,R,"['scifi', 'thriller', 'action']",tt0120201,7.3
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",tt0112159,8.5
ts22193,The Magic School Bus,SHOW,1994,TV-Y,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",tt0108847,7.8
